har_id,gene,old_rank,rank,rank_change,old_total,total_score,old_score_accel,score_acceleration,old_score_motif,score_motif,driver
HAR_308,ENTPD1,176,161,15,0.3320245520675078,0.3137778457301042,0.3932611816051223,0.08930390492359933,0.0,0.06060606060606061,acceleration
HAR_3232,CNKSR2,140,162,-22,0.3506802476636798,0.313283270913854,0.5959857746627418,0.0328832208052013,0.0,0.04040404040404041,acceleration
HAR_1600,GAD1,152,163,-11,0.3427284718714484,0.3130420764450534,0.5482259388630981,0.05198450347881088,0.0,0.10101010101010101,motif
HAR_1040,XYLT1,143,164,-21,0.34923095144839733,0.3125513091278759,0.6246364828702394,0.035706527642011515,0.0,0.09090909090909091,motif
HAR_414,LRP4,216,165,51,0.30289289964232546,0.31194223390243003,0.08282057047776871,0.21209677419354842,0.0,0.0,acceleration
HAR_1104,ZFHX3,170,166,4,0.3349283433784289,0.3114618295541633,0.4688633097784976,0.06147732585320243,0.0,0.10101010101010101,motif
HAR_3136,PLAA,156,167,-11,0.34034690769641573,0.3109338536921211,0.6557313472994285,0.05516968114861086,0.0,0.25252525252525254,motif
HAR_1286,SETBP1,151,168,-17,0.342887297538764,0.31059478623134884,0.6021995058140669,0.03986781469803541,0.0,0.1414141414141414,motif
HAR_2063,MECOM,118,169,-51,0.3673269609212997,0.3099266129103873,0.8372838826757949,0.010063903876324954,0.0,0.010101010101010102,acceleration
HAR_963,SMAD3,148,170,-22,0.34414361181464803,0.30939313962772763,0.6197811621872792,0.05119577308120134,0.0,0.10101010101010101,motif
HAR_2725,TMEM106B,171,171,0,0.3348003527061904,0.30896664010844394,0.7224311317676321,0.05756279884167285,0.0,0.41414141414141414,motif
HAR_2056,IFT80,177,172,5,0.33119046800678986,0.30815304814075456,0.5626503297304168,0.03873913683900427,0.0,0.2727272727272727,motif
HAR_977,LINGO1,174,173,1,0.33343028539448355,0.30800888415132127,0.4732249130700528,0.04512697323266987,0.0,0.09090909090909091,motif
HAR_2780,RALA,154,174,-20,0.341476343799343,0.3074999842812941,0.574377119513242,0.04571051167964405,0.0,0.06060606060606061,acceleration
HAR_1447,FANCL,129,175,-46,0.3595923769738596,0.3064223295585777,0.8350940511748971,0.017801887522240274,0.0,0.08080808080808081,motif
HAR_1818,TANGO2,196,176,20,0.3173274889213844,0.3049423770763845,0.3287448497807186,0.12295465170640486,0.0,0.04040404040404041,acceleration
HAR_1943,MITF,168,177,-9,0.3353142040066342,0.3028537089342715,0.5626503297304168,0.04842392104875534,0.0,0.0707070707070707,motif
HAR_2065,TERC,155,178,-23,0.3410577674093766,0.301859565571763,0.6764265823809513,0.04430219826497094,0.0,0.10101010101010101,motif
HAR_960,RAB11A,164,179,-15,0.3384032377808471,0.30132126297095074,0.6111794424076493,0.038146901833372014,0.0,0.06060606060606061,motif
HAR_2512,DOCK2,215,180,35,0.3029944407660259,0.30103641724478303,0.3635397065693992,0.1551927616050354,0.0,0.25252525252525254,motif
HAR_1187,SRSF1,172,181,-9,0.3344924979624204,0.3001143947881813,0.6211802132713405,0.029054352629253204,0.0,0.1414141414141414,motif
HAR_3318,AFF2,175,182,-7,0.33241011201699167,0.29921831431973506,0.5421583444252693,0.05355979146301727,0.0,0.020202020202020204,acceleration
HAR_1467,CTNNA2,191,183,8,0.3196463248075833,0.29698626428658587,0.44717895814202235,0.051313735691987515,0.0,0.10101010101010101,motif
HAR_972,BBS4,173,184,-11,0.3336300748108788,0.29520802279256225,0.6821955595608474,0.032299001146225643,0.0,0.1414141414141414,motif
HAR_1381,PDIA6,242,185,57,0.2798301708625967,0.29508230421767717,0.09232277956178381,0.3029953917050691,0.0,0.010101010101010102,acceleration
HAR_344,MMP21,182,186,-4,0.3261780343944911,0.29486202565632513,0.6509670342931368,0.03765031494560031,0.0,0.23232323232323232,motif
HAR_2554,SOX4,189,187,2,0.3202964632835176,0.29458589256363493,0.5975570182545629,0.0571029776674938,0.0,0.24242424242424243,motif
HAR_2831,FOXP2,232,188,44,0.2902166471521914,0.2944493565456492,0.1487504765231965,0.15149769585253456,0.0,0.08080808080808081,acceleration
HAR_2466,HDAC3,179,189,-10,0.32824805048915917,0.29419383579357816,0.6346676634152919,0.054383788254755996,0.0,0.13131313131313133,motif
HAR_101,PRKACB,160,190,-30,0.3393326602696084,0.29388230198104026,0.7311597718160043,0.016933874187109652,0.0,0.09090909090909091,motif
HAR_3137,PLAA,166,191,-25,0.3373512705313138,0.2931084809045344,0.6758939597591453,0.022209086302989362,0.0,0.030303030303030304,acceleration
HAR_501,JAM3,178,192,-14,0.32993643397225514,0.29261809240741143,0.6074856589333861,0.031076450431289142,0.0,0.06060606060606061,motif
HAR_1557,ZEB2,158,193,-35,0.3395805651900467,0.29246254780691394,0.81425142482822,0.011266760913335904,0.0,0.18181818181818182,motif
HAR_2587,PKHD1,188,194,-6,0.3208766241993512,0.2924207564788464,0.5193789353362982,0.04793147439402223,0.0,0.09090909090909091,motif
HAR_1103,ZFHX3,167,195,-28,0.3357747734878663,0.2923599312396553,0.6847649099129617,0.021262834505618885,0.0,0.06060606060606061,motif
HAR_2025,PLXNA1,193,196,-3,0.3178712297164563,0.292218317875713,0.5337772442703982,0.04465195246179966,0.0,0.1717171717171717,motif
HAR_1608,SP9,153,197,-44,0.34186876251366477,0.2908399367270712,0.8016818689909552,0.01497858574813195,0.0,0.08080808080808081,motif
HAR_3063,GLIS3,203,198,5,0.31153550393486057,0.2904697459646344,0.6197811621872792,0.10239154616240267,0.0,0.30303030303030304,motif
HAR_2558,LEMD2,204,199,5,0.31002284359749627,0.2892898360892415,0.46738849716405295,0.0774075818224629,0.0,0.13131313131313133,motif
HAR_913,ACTC1,159,200,-41,0.33957130261597074,0.28802413752814715,0.8153321715808439,0.01400903396258576,0.0,0.09090909090909091,motif
HAR_2082,PIK3CA,245,201,44,0.27767108969995136,0.28736848209706506,0.09232277956178381,0.2019969278033794,0.0,0.04040404040404041,acceleration
HAR_1307,TCF4,195,202,-7,0.3173465789859915,0.2872075811473863,0.487125558369072,0.042138431958983126,0.0,0.020202020202020204,acceleration
HAR_3194,COL27A1,201,203,-2,0.313527188239144,0.2847857710838992,0.5560454835478216,0.03001369446135119,0.0,0.16161616161616163,motif
HAR_1640,HSPD1,185,204,-19,0.3223600848630874,0.2846148933734106,0.6190780266918294,0.02935595490568144,0.0,0.0707070707070707,motif
HAR_1934,LMOD3,256,205,51,0.2687163338287444,0.28388396020823503,0.10140252591045522,0.2892228739002932,0.0,0.04040404040404041,acceleration
HAR_3299,GPC3,217,206,11,0.3027833927466226,0.28382871084329364,0.5726162408517711,0.027664796633941093,0.0,0.3838383838383838,motif
HAR_801,RALGAPA1,214,207,7,0.30315410643840696,0.28313977851046795,0.4247481011637434,0.09553908747457135,0.0,0.06060606060606061,acceleration
HAR_483,KIRREL3,212,208,4,0.3044417524024808,0.28310962437648773,0.5369605917095105,0.08791576132375063,0.0,0.20202020202020202,motif
HAR_451,ALG9,187,209,-22,0.32094951896007096,0.2830929708673972,0.6385461468971989,0.04001825928180158,0.0,0.08080808080808081,motif
HAR_934,MEIS2,285,210,75,0.2423396612831169,0.2830155742512036,0.014092529446268423,0.530241935483871,0.0,0.09090909090909091,acceleration
HAR_1822,LARGE1,198,211,-13,0.31670144328804606,0.2830063640951086,0.5769902979225411,0.04512697323266987,0.0,0.0707070707070707,motif
HAR_2701,QKI,231,212,19,0.2921422116309949,0.2824833090464749,0.40763720958368066,0.14699776429255831,0.0,0.1717171717171717,acceleration
HAR_962,SMAD3,194,213,-19,0.3176198425276542,0.28212041921028974,0.6225697469274305,0.04328505595786702,0.0,0.10101010101010101,motif
HAR_1578,NR4A2,181,214,-33,0.3262789961779357,0.28207766801777157,0.6753599446583126,0.02226737786808907,0.0,0.030303030303030304,acceleration
HAR_61,NFIA,180,215,-35,0.3278925298019135,0.2813612315981725,0.7228553492819514,0.02204748172490108,0.0,0.050505050505050504,motif
HAR_3189,ZNF462,206,216,-10,0.30776670633748915,0.28110369348664477,0.5337772442703982,0.04465195246179966,0.0,0.15151515151515152,motif
HAR_1575,NR4A2,263,217,46,0.26032635152756695,0.2806890024352648,0.0728546593564142,0.3348896434634975,0.0,0.04040404040404041,acceleration
